user_id,asin,ai_category,timestamp
AGKHLEW2SOWHNMFQIJGBECAF7INQ,B00YQ6X8EO,All_Beauty,1588687728923
AGKHLEW2SOWHNMFQIJGBECAF7INQ,B081TJ8YS3,All_Beauty,1588615855070
AE74DYR3QUGVPZJ3P7RFWBGIX7XQ,B097R46CSY,All_Beauty,1589665266052
AFQLNQNQYFWQZPJQZS6V3NZU4QBQ,B09JS339BZ,All_Beauty,1643393630220
AFQLNQNQYFWQZPJQZS6V3NZU4QBQ,B08BZ63GMJ,All_Beauty,1609322563534
AGMJ3EMDVL6OWBJF7CA5RGJLXN5A,B00R8DXL44,All_Beauty,1598567408138
AHREXOGQPZDA6354MHH4ETSF3MCQ,B099DRHW5V,All_Beauty,1631885519443
AEYORY2AVPMCPDV57CE337YU5LXA,B08BBQ29N5,All_Beauty,1634275259292
AFSKPY37N3C43SOI5IEXEK5JSIYA,B08P2DZB4X,All_Beauty,1627391044559
AFSKPY37N3C43SOI5IEXEK5JSIYA,B086QY6T7N,All_Beauty,1626614511145
AFSKPY37N3C43SOI5IEXEK5JSIYA,B08DHTJ25J,All_Beauty,1626211245370
AFSKPY37N3C43SOI5IEXEK5JSIYA,B07RBSLNFR,All_Beauty,1621184430697
AFSKPY37N3C43SOI5IEXEK5JSIYA,B07SLFWZKN,All_Beauty,1619737501209
AFSKPY37N3C43SOI5IEXEK5JSIYA,B08JTNQFZY,All_Beauty,1617904219785
AFSKPY37N3C43SOI5IEXEK5JSIYA,B08GLG6W8T,All_Beauty,1613319236253
AFSKPY37N3C43SOI5IEXEK5JSIYA,B08M3C6LVS,All_Beauty,1607339460872
AFSKPY37N3C43SOI5IEXEK5JSIYA,B07GHPCT6T,All_Beauty,1598212476613
AFSKPY37N3C43SOI5IEXEK5JSIYA,B07KG1TWP5,All_Beauty,1596473351088
AFSKPY37N3C43SOI5IEXEK5JSIYA,B07W397QG4,All_Beauty,1593352422858
AFSKPY37N3C43SOI5IEXEK5JSIYA,B07GDQPG12,All_Beauty,1547589843451
AFSKPY37N3C43SOI5IEXEK5JSIYA,B07J3GH1W1,All_Beauty,1547589356557
AFSKPY37N3C43SOI5IEXEK5JSIYA,B01M7UMAUG,All_Beauty,1508770624887
AFSKPY37N3C43SOI5IEXEK5JSIYA,B00JMDPK8S,All_Beauty,1404402463000
AG35BKPUEUMX7LV5YLOQ5YCQ3GOA,B01ETWL5B2,All_Beauty,1475756226000
AHPUT3ITXCHQJO7OMF74LEMYHIVA,B07ZJKVVLW,All_Beauty,1578611984772
AHGAOIZVODNHYMNCBV4DECZH42UQ,B082QX2HP6,All_Beauty,1584799493853
AHGAOIZVODNHYMNCBV4DECZH42UQ,B077SRDVG9,All_Beauty,1522091824726
AHGAOIZVODNHYMNCBV4DECZH42UQ,B01AKTGHFW,All_Beauty,1500768914981
AFGEM6BXCYHUILEOA3P2ZYBEF2TA,B079SMVSYW,All_Beauty,1603130609586
AGC3Q6IXOVLTTDMS4Q55FPYUF6FQ,B07K8VTT6M,All_Beauty,1589724040497
AHZ6XMOLEWA67S3TX7IWEXXGWSOA,B083BDVS36,All_Beauty,1621356942148
AH6ZNRRCEEWR6P34CNLQ2LRLUU3Q,B09FP8PP2K,All_Beauty,1568236063550
AFZUK3MTBIBEDQOPAK3OATUOUKLA,B0BFR5WF1R,All_Beauty,1675826333052
AFZUK3MTBIBEDQOPAK3OATUOUKLA,B00946HGLW,All_Beauty,1596901440832
AFZUK3MTBIBEDQOPAK3OATUOUKLA,B082FLP15V,All_Beauty,1592452852671
AFZUK3MTBIBEDQOPAK3OATUOUKLA,B0020MKBNW,All_Beauty,1406073199000
AFKNVFEXRGUGJAGMENCOWLVDYVCQ,B00023J4AW,All_Beauty,1608936024878
AFKNVFEXRGUGJAGMENCOWLVDYVCQ,B005IYYF5E,All_Beauty,1489880060000
AHFURURV4H35BXUUTXYMJYA36CTQ,B0B96MFXSJ,All_Beauty,1577694848810
AFETVW7S5M4LVJ7GTWPCKT7S3YBQ,B01M5KNSQN,All_Beauty,1649634131604
AGF42GID7QWDCNFTJRCTMKAITJJA,B07KDNK11M,All_Beauty,1607532414595
AGF42GID7QWDCNFTJRCTMKAITJJA,B08DLGCYK8,All_Beauty,1606300801565
AE5DIA2HDWBPNGBO2FXN2PF4NQJA,B081GCFHPG,All_Beauty,1623459734108
AF2FTNKCY6XY67BKBUO4BNJRZ4XQ,B07H8Z3SMK,All_Beauty,1585005652909
AHEQRHKGEACLR3RSXRQ7TUIXZGSQ,B08C9LZQN4,All_Beauty,1603586386842
AHW7W34BLHHC4AYM4TPMLA2SWMMA,B07H281V4V,All_Beauty,1609434807770
AGVVUU3QRQBHNASSGI5YQLPYOI2Q,B09FF97RHL,All_Beauty,1648824907536
AGG3LLILZEGKCA4SAS4Q7X2Y7ISQ,B07Y5QX37B,All_Beauty,1582901059423
AGG3LLILZEGKCA4SAS4Q7X2Y7ISQ,B07XYXSYCD,All_Beauty,1582900994981
AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,B07NSR3CKR,All_Beauty,1559999072586
AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,B07CJWG8SP,All_Beauty,1485955955000
AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,B018F28B1Y,All_Beauty,1478783674000
AFPBVAEV3FCQOHKJJGAKQLZLTCZQ,B01HO1ZB7Y,All_Beauty,1561738244885
AHSAUHUTLVNKJ72GUIPGI5XZH6ZA,B0040NQBAG,All_Beauty,1640896526461
AHSAUHUTLVNKJ72GUIPGI5XZH6ZA,B00JNI1DZQ,All_Beauty,1568217083791
AEEM2QIBMUUXEAJIEQH2WT2KNZZA,B07T2L6JQR,All_Beauty,1656871648888
AH4CGRSYSW5CWLRGQYRZKNJBUPAA,B095SC4J8T,All_Beauty,1629166303947
AH4CGRSYSW5CWLRGQYRZKNJBUPAA,B087JNH3NC,All_Beauty,1598833004245
AH4CGRSYSW5CWLRGQYRZKNJBUPAA,B07SQ8193F,All_Beauty,1585211251700
