user_id,stime,session_id,sequence_id,sequence_length,event_id,item_id,product_id,name,price,c0_name,c0_id,c1_name,c1_id,c2_name,c2_id,brand_name,brand_id,item_condition_id,item_condition_name,size_name,size_id,color,shipper_id,shipper_name
45,2023-05-04 19:21:12,e81215462fcaff69cfa87276e2f47e5815b638ba12ba9b33a07f0af8956c7249,20230501_0,1,item_view,238357102,10548_1332,Kaleidos Comet Catcher Highlighter,55.0,Beauty,298,Makeup,256.0,Face,1332.0,Indie,10548,1,New,,,,1,Buyer
50,2023-05-02 21:58:49,b54f49c79fe63a91cf3c6bcbdeb4f4e54c0fb3f98da300c51ea3df51e9a16a46,20230501_0,1,item_view,153080686,9820_923,Gourmia French Door Xl Air Fryer Oven,117.0,Home,468,Home appliances,475.0,Kitchen appliances,923.0,Hamilton Beach,9820,1,New,,,,1,Buyer
56,2023-05-11 23:57:15,7100e5ec0c89a773dcd53d8b36f8b35b1507d2411ba240994798e21ec816c2b3,20230501_0,2,item_view,228645576,0_1160,Gold Heart Pendant Necklace,14.0,Women,1097,Jewelry,201.0,Necklaces,1160.0,,0,1,New,,,,1,Buyer
56,2023-05-11 23:57:17,7100e5ec0c89a773dcd53d8b36f8b35b1507d2411ba240994798e21ec816c2b3,20230501_0,2,item_view,90449801,12630_1149,Lululemon Hotty Hot Shorts Low Rise,50.0,Women,1097,Athletic apparel,213.0,Shorts,1149.0,lululemon athletica,12630,2,Like new,M (8-10),1.0,,1,Buyer
79,2023-05-19 23:56:20,37b20d4b650ba7cce590f85c1bf1f93122b06401016bc76dd07b4879fc4244e9,20230501_0,1,item_view,192635445,15928_1314,Nintendo 3DS XL PIKACHU YELLOW EDITION,2000.0,Electronics,300,Video games & consoles,260.0,Consoles,1314.0,Nintendo,15928,1,New,,,yellow,2,Seller
211,2023-05-08 16:18:06,8dff22d6e8fe419468b9732c1b56faaad3e05bc42b418b4c6b0db278e5f2e049,20230501_0,8,item_view,46579405,9699_1725,Awesome Mix vol 1 vinyl,19.0,Handmade,472,Music,276.0,Vinyl,1725.0,Hollywood Records,9699,2,Like new,,,,1,Buyer
211,2023-05-08 16:18:07,8dff22d6e8fe419468b9732c1b56faaad3e05bc42b418b4c6b0db278e5f2e049,20230501_0,8,item_like,46579405,9699_1725,Awesome Mix vol 1 vinyl,19.0,Handmade,472,Music,276.0,Vinyl,1725.0,Hollywood Records,9699,2,Like new,,,,1,Buyer
211,2023-05-08 16:18:55,8dff22d6e8fe419468b9732c1b56faaad3e05bc42b418b4c6b0db278e5f2e049,20230501_0,8,buy_start,46579405,9699_1725,Awesome Mix vol 1 vinyl,19.0,Handmade,472,Music,276.0,Vinyl,1725.0,Hollywood Records,9699,2,Like new,,,,1,Buyer
211,2023-05-08 16:20:28,8dff22d6e8fe419468b9732c1b56faaad3e05bc42b418b4c6b0db278e5f2e049,20230501_0,8,buy_comp,46579405,9699_1725,Awesome Mix vol 1 vinyl,19.0,Handmade,472,Music,276.0,Vinyl,1725.0,Hollywood Records,9699,2,Like new,,,,1,Buyer
211,2023-05-11 20:41:03,2a8f5a5129bff0c114ff23e9ce24cfac1f61bc54ee1260d4365448fee910db9f,20230501_0,8,item_view,58209275,6146_341,D23 Expo Obi Wan Kenobi Exclusive Legacy Lightsaber Set,1040.0,Vintage & collectibles,299,Other,341.0,,,Disney,6146,1,New,,,,1,Buyer
